"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-14C10.3",5.8006121702922,0.283713124235862,0.79761720837558,0.355700856572126,0.722064603483426,0.775047738125188
"AC010504.2",3.08584091123149,-0.401366512983887,1.12995143268473,-0.355206871175208,0.722434617493379,0.775409408413157
"AC010900.2",7.9029521597853,0.252646497977954,0.711659783943126,0.35501022212904,0.722581933245155,0.77542555272828
"BTF3P8",4.52102650205434,0.326104651008792,0.918487450399531,0.355045298514357,0.722555655709593,0.77542555272828
"RPL23AP18",136.154256823004,0.0703248323246517,0.198048902010248,0.355088221196059,0.722523500552581,0.77542555272828
"TAL2",15.4989526380818,0.172123716447173,0.484732240959038,0.355090299144592,0.722521943887786,0.77542555272828
"LINC00862",5.45636475147946,0.286643873593942,0.807744770568176,0.354869364728061,0.722687460109222,0.775496329229834
"RP11-33B1.1",1018.90838713783,0.0247484113402361,0.0697464681121772,0.354833900699199,0.722714029709564,0.775496329229834
"RP11-10O17.3",8.8643350424678,0.231281358547928,0.652770879849875,0.354307101752331,0.723108746091992,0.775884368404463
"AC007229.3",4.06486517197095,-0.340958137502021,0.962545945889837,-0.354225311485592,0.723170035964819,0.775914627011623
"LA16c-316G12.2",3.06177461551576,-0.398131023610392,1.1242319788961,-0.354136006699723,0.723236958901393,0.775950926486035
"RP11-359J14.2",25.7955880195807,0.153355646862569,0.433194388845639,0.354011157141777,0.723330521814,0.775980300394203
"RPS15AP1",158.80903531124,0.0711807836703159,0.201063286178556,0.354021785991816,0.723322556337051,0.775980300394203
"FZD8",1.64087441665206,0.533830099027931,1.50982386370889,0.353571109756191,0.723660328595662,0.776263085326609
"SDHCP2",1.64087441665206,0.533830099027931,1.50982386370889,0.353571109756191,0.723660328595662,0.776263085326609
"ZNF322P1",3.1299931674112,0.395094078521369,1.11821463139398,0.353325799385079,0.72384420613148,0.776424810831027
"RPL22P11",19.505525703483,0.153868853288224,0.435764269268704,0.35310112402388,0.724012630246425,0.776569946329175
"EEF1A1P14",48.2793098014119,0.115460093286921,0.32710768160749,0.352972735826687,0.724108880304319,0.776637658795955
"RPS2P32",3.56359063779192,-0.360931474189673,1.0230949518242,-0.352783945953524,0.724250420210342,0.776753938140885
"LRRC6",7.45857334061685,-0.259093012367731,0.73478307529454,-0.352611568065681,0.724379663924837,0.776857019866156
"GDI2P1",5.08151576092549,0.294110470136982,0.834303905693103,0.352521986448869,0.724446832607713,0.776893523178371
"RPL5P23",55.1666230710722,-0.098171479065334,0.278630244582647,-0.352336047410727,0.724586257271127,0.777007506596728
"GPC1",6.76872175012045,0.25974273403883,0.738205811142742,0.351856799442893,0.724945659018009,0.777357360449666
"RP11-377K22.2",8.53896861368019,0.247416370399789,0.704088380516527,0.351399593071373,0.725288587635522,0.777689519020777
"DOCK9",1729.3183160824,0.0183051227989653,0.0521161487016916,0.351237059049437,0.725410509905323,0.777784684351619
"GZMM",13.1255427586082,-0.205129754646977,0.584213320252898,-0.351121324241939,0.725497330743688,0.777842206968531
"IL37",4.69953165553094,-0.314800773439021,0.896974732445095,-0.350958351503274,0.725619594066424,0.777937722259674
"VDAC3P1",4.90172125749683,0.310157301398018,0.88501594689162,0.350453912708988,0.725998071993899,0.778307904273988
"CTD-2540F13.2",3.13465038301309,0.365832311279054,1.04495095245921,0.350095198648412,0.726267254091397,0.778560886952051
"AC073842.19",7.0535586933264,-0.271798126992911,0.776499766391331,-0.350029888941311,0.726316266692679,0.778577834865217
"CTB-32O4.3",1.69939433423284,0.540529481549153,1.54566077503654,0.349707704484107,0.726558071008343,0.778801435686351
"AC093110.3",1.77698769404074,0.500315098561561,1.43177921981499,0.349435926738907,0.726762065509131,0.778954071266762
"DCAF4",1934.78608440468,0.018069401998508,0.0517111551980136,0.34942947859734,0.726766905675048,0.778954071266762
"RBM34",112.114526185381,-0.0635421197731198,0.181924757325719,-0.349276924741769,0.726881420295197,0.779041200443443
"AC073109.2",4.35550020221105,0.345312201191607,0.989529258290478,0.348966135461393,0.727114733283575,0.779220025628013
"LA16c-390H2.4",2.16178809573928,0.446807284277015,1.28037262561669,0.348966601860774,0.72711438313338,0.779220025628013
"RP11-480N24.4",3.06052090424608,0.413856477552249,1.18760573522473,0.348479689241256,0.727479964694413,0.779575801668919
"RP11-603J24.5",9.47106345512374,0.213926000995978,0.614398274581586,0.348187828394643,0.727699128095756,0.779775024206799
"CTB-11I22.1",4.95308184565308,-0.302909368398911,0.870633862790858,-0.347918202294499,0.727901614830897,0.77995165055338
"RP11-215D10.1",4.94346659594265,0.300044064185525,0.862493579307099,0.347879765582222,0.727930481997557,0.77995165055338
"RBBP4P3",1.75837141033929,-0.50803155720031,1.46120875298703,-0.347678972057746,0.728081290455305,0.780047213377428
